icd10,doid  
Q87.8,0060811
Q87.8,0060813
Q87.8,0060816
Q87.8,0060820
Q87.8,0060822
F72,0060823
Q87.8,0060824
Q87.8,0060826
F71.1,0060827
Q87.8,0060830
E70.3,0060831
Q11.0,0060835
Q11.0,0060836
Q15.8,0060837
Q11.0,0060838
Q11.0,0060839
Q11.0,0060840
Q11.0,0060841
Q11.0,0060842
Q45.1,0060850
L10.0,0060851
Q20.6,0060856
E72.0,0060858
A02.0,0060859
Q87.2,0060861
Q82.8,0060862
H35.5,0060863
E75.2,0060868
E23.0,0060870
Q80.8,0060871
E23.0,0060872
E23.0,0060873
E23.0,0060874
E23.0,0060875
E83.4,0060879
E83.4,0060880
E83.4,0060882
E83.4,0060883
E83.4,0060884
E83.4,0060885
D47.7,0060888
Q79.4,0060889
E24.3,0060890
G20,0060891
G20,0060895
G20,0060896
C88.0,0060901
N11.8,0060911
G24.8,0060936
E75.2,0070111
E75.2,0070112
E75.2,0070113
E75.2,0070114
Q61.9,0070115
Q61.9,0070116
Q61.9,0070117
Q61.9,0070118
Q61.9,0070119
Q61.9,0070120
Q61.9,0070122
E03.1,0070123
E03.1,0070124
E03.1,0070125
E03.1,0070126
E03.1,0070127
E03.1,0070128
Q82.8,0070129
Q82.8,0070130
Q82.8,0070131
Q82.8,0070132
Q82.8,0070133
Q82.8,0070134
Q82.8,0070135
Q82.8,0070136
Q82.8,0070137
Q82.8,0070138
Q82.8,0070140
Q82.8,0070141
Q82.8,0070142
G60.8,0070149
G60.8,0070151
G60.8,0070158
Q82.0,0070212
I89.0,0070213
G71.0,0070247
Q22.6,0070315
E51.12,0070317
E51.11,0070318
L74.2,0070320
L74.1,0070321
N32.81,0070355
Q93.2,0070620
M89.9,0080001
Q05,0080016
Q77.4,0080041
G71.0,0080092
G71.0,0080094
G31.81,0080122
Q64.10,0080174
A39.0,0080176
K76.5,0080177
G00.0,0080179
C85.2,0080210
E75.5,0080217
H35.5,0080350
Q87.3,0080351
D12.6,0080410
L40.1,0080474
D80.5,0080544
U07.1,0080600
M32.11,0080740
E34.51,0080775
N39.0,0080784
Q31.5,0080833
L10.2,0080850
L10.81,0080852
E55.0,0080883
E85.81,0080933
E85.3,0080936
C92.5,0081082
C92.0,0081085
C92.0,0081086
C92.0,0081087
C83.8,0081307
E74.01,0081329
Q87.0,0090001
G60.0,0090003
Q77.7,0090004
G71.1,0090005
Q60.4,0090006
D84.8,0090007
D84.8,0090008
D84.8,0090009
D84.8,0090010
D84.8,0090011
D81.1,0090012
D81.1,0090013
D81.2,0090014
Q78.4,0090015
D46.7,0090016
Q81.0,0090017
E85.0,0090018
Q71.6,0090021
Q87.2,0090024
E85.0,0090029
E27.8,0090030
E71.3,0090031
Q77.7,0090032
G24.1,0090034
G24.1,0090037
G24.1,0090038
G24.1,0090039
G24.1,0090041
G24.1,0090042
G24.1,0090043
G24.8,0090044
G24.8,0090045
G24.1,0090046
G24.8,0090047
G24.1,0090048
G24.8,0090049
G24.1,0090050
G24.8,0090051
G24.8,0090052
G24.8,0090053
G24.8,0090054
G24.1,0090055
G24.1,0090056
G24.1,0090057
G24.1,0090058
E13,0090060
L50.2,0090061
L50.2,0090062
L50.2,0090064
L50.2,0090065
Q74.8,0090067
E23.0,0090070
E23.0,0090071
E23.0,0090072
E23.0,0090073
E23.0,0090074
E23.0,0090075
E23.0,0090076
E23.0,0090077
E23.0,0090078
E23.0,0090079
E23.0,0090080
E23.0,0090081
E23.0,0090082
E23.0,0090083
E23.0,0090084
E23.0,0090085
E23.0,0090086
E23.0,0090087
E23.6,0090088
E23.0,0090089
E23.0,0090090
Q56.1,0090091
E23.0,0090092
E23.0,0090093
E23.0,0090094
E70.3,0090100
E74.0,0090101
G73.6,0090101
D69.4,0090102
G10,0090103
G10,0090104
E78.0,0090105
E20.8,0090109
E31.0,0090110
E75.2,0090111
D82.8,0090113
G60.2,0090115
Q76.4,0090116
E30.1,0090122
E70.81,0090123
E71.1,0090126
E71.3,0090129
Q04.8,0090130
Q04.3,0090137
E72.19,0090142
Q76.3,0090143
H35.5,0110005
H35.5,0110016
D56.0,0110029
D56.0,0110030
D56.0,0110031
G30,0110035
G30,0110037
G30,0110038
G30,0110039
G30,0110041
G30,0110043
G30,0110044
G30,0110045
G30,0110046
G30,0110047
G30,0110048
K00.5,0110052
K00.5,0110053
K00.5,0110054
K00.5,0110055
K00.5,0110056
K00.5,0110057
K00.5,0110058
K00.5,0110059
K00.5,0110060
K00.5,0110061
K00.5,0110062
K00.5,0110063
K00.5,0110064
K00.5,0110065
K00.5,0110066
I42.8,0110070
Q24.8,0110070
I42.8,0110072
I42.8,0110073
I42.8,0110074
I42.8,0110075
I42.8,0110076
I42.8,0110077
H35.5,0110078
H35.5,0110079
H35.5,0110080
I42.8,0110081
I42.8,0110082
I42.8,0110083
I42.8,0110084
Q77.2,0110085
Q77.2,0110086
Q77.2,0110087
Q77.2,0110088
Q77.2,0110089
Q77.2,0110090
Q77.2,0110091
Q87.5,0110091
Q77.2,0110092
Q77.2,0110093
Q77.2,0110094
Q77.2,0110095
Q04.3,0110096
Q87.5,0110097
Q21.1,0110106
Q21.1,0110107
Q21.1,0110108
Q21.1,0110109
Q21.1,0110110
Q21.1,0110111
Q21.1,0110112
Q21.1,0110113
Q21.1,0110114
D47.9,0110115
D47.9,0110116
D72.8,0110117
H35.5,0110118
Q13.8,0110120
Q13.8,0110121
Q13.8,0110122
Q87.89,0110123
Q87.89,0110124
Q87.89,0110125
Q87.89,0110126
Q87.89,0110127
Q87.89,0110128
Q87.89,0110129
Q87.89,0110130
Q87.89,0110131
Q87.89,0110132
Q87.89,0110133
Q87.89,0110134
Q87.89,0110135
Q87.89,0110136
Q87.89,0110137
Q87.89,0110138
Q87.89,0110139
Q87.89,0110140
Q87.89,0110141
E26.8,0110142
E26.8,0110143
