icd10,doid
I77.4,9892
K55.9,0060181
F60.0,10938
G71.8,0110633
G11.0,0060694
Q86.0,0050665
P70.2,11717
H10.4,2475
C64,263
K62.6,13662
L22,2770
A53.0,9531
N90.5,14275
C17.1,13499
D68.0,12531
L40.3,4398
J66.0,10323
Q35.1,0110213
A01.0,13258
H44.0,9724
H52.7,9835
G70.9,440
D69.5,11126
H05.9,930
Q18.2,0060341
K04.5,823
C91.4,285
E28.2,11612
A98.5,11266
E51.2,2384
K29.6,8757
D64.4,1338
E16.1,2018
N73.9,1003
K31.1,12639
C22.9,3571
D24,1618
L74.3,1382
C18.2,218
B76.0,12841
C46.1,8632
L10.2,0080850
D82.0,9169
C07,9036
A67.3,1022
A38,8596
D00.1,9095
G11.4,2476
A75.2,11256
G98,863
M71.9,2965
J31.1,10460
B71.0,10074
K04.6,0060324
H18.5,2566
M30.1,3049
G12.9,12377
K92.9,77
G51.1,14075
M05.3,8481
B57.2,10113
F63.9,10937
D58.1,2373
C72.9,3620
N50.0,11994
H30.0,1979
M94.1,2556
D25.2,13560
D01.5,9132
D04.4,8687
K56.0,8442
E16.2,9993
B64,2789
A30.1,1025
C60.1,11839
Z88.4,0040010
F17,0050742
B76.1,2790
Q12.3,11367
M61.1,13374
F65.4,13351
C68.9,3996
D04.0,8687
G52.0,367
M08.4,676
G24.2,0050835
J06.0,11195
H50.1,1143
H34.0,8482
D46.7,0090016
B53.0,12919
G71.3,0060537
A15.5,1583
L00,9063
E27.9,9553
D01.2,9174
A23.3,14019
F60.6,1509
C83.7,8584
H16.4,11382
M87.9,10159
E66.9,9970
Q80.2,0060719
K52.9,2326
C31.1,1363
C20,1993
D07.5,8634
N04,2590
K26,1724
L74.4,11156
G90.1,11589
H02.4,0060260
A28.0,11055
C17.2,10153
D47.9,0110116
H74.4,7439
Q76.4,0090116
H20.2,9388
D69.9,2213
L42,8892
K00.0,13714
D61.9,12449
C18.7,12192
Q24.3,8861
F01.1,0111036
Q38.1,0060604
H52.2,11782
N34.0,9877
C34.1,1324
J47,9563
Q21.2,0050651
H81.9,3426
Q76.1,10426
N30.0,13148
F60.4,334
P39.1,9699
A05.1,11976
E22.8,0112308
M12.2,2702
B33.0,10882
E22.1,12700
K05.6,3388
I88.0,10782
Q11.2,10629
I87.0,2364
K03.4,12733
A92.3,2366
A68.0,13035
J67.5,2708
C11.2,9261
L40.5,9008
M48.1,6652
C67.0,11813
E23.0,9476
N18.9,784
G03.0,12157
M93.9,84
G80.1,10965
L50.5,14443
E79.8,653
N30.4,7127
I25.3,9768
B30.0,13014
F95.1,10600
G82.2,607
J37.1,0050148
A81.2,643
F98.4,2303
C03.0,8601
K05.2,1474
D26.9,0060325
C75.4,8731
G25.0,4990
G20,14330
I77.0,11294
G25.5,12859
L94.6,11329
K62.3,9307
Q87.4,14323
N89.4,8920
Q87.0,4501
C12,9235
F60.5,10932
B35.2,13369
E72.0,0060858
K83.9,9741
F45.0,4737
I27.0,14557
F84.0,12849
C00.3,8630
N73.3,9978
A69.0,9672
R80,576
K90.2,10606
C90.1,9513
F80.9,93
D66,12134
Q21.3,6419
G91.1,14159
C15.4,5041
N41.3,12355
G11.1,0060797
C86.5,0111147
G12.0,13137
K03.2,2498
P61.2,11243
C10.8,8557
K06.0,1134
K64.5,9745
G60.0,2477
G14,4952
F34.1,4964
D65,11247
M35.7,13781
J32.1,10791
E21.3,13543
I70.0,10230
